428|-406.41
533|-439.59
-389|-548.38
725|971.5
732|835.62
277|579.43
507|744.34
-266|-592.24
311|158.76
-763|-351.48
-916|-409.9
-541|473.88
-80|291.47
593|170.31
786|346.56
-499|-949.22
-409|808.49
-70|603.35
656|-968.72
163|310.84
-374|324.49
343|-148.63
379|-313.93
-64|-230.64
-275|919.22
801|-398.76
-423|581.39
-450|525.1
62|-475.16
216|-225.41
318|244.7
-8|502.24
-121|-507.04
380|535.4
742|-441.25
209|-873.47
-318|376.83
-631|371.29
-930|249.53
61|190.61
-296|757.94
-346|581.49
223|87.34
326|-292.04
-926|625.12
577|122.21
-509|25.68
-934|395.83
190|-544.32
226|-609.92
-930|-83.32
554|336.29
10|-23.56
-657|582.35
769|-431.06
29|626.77
188|150.18
-932|-546.72
718|-382.45
-629|70.77
-224|-800.58
-770|277.81
587|-190.27
943|-124.46
218|-611.56
-926|-775.58
-944|822.95
-727|-529.13
979|865.4
-984|339.83
838|-993.39
-983|496.65
36|328.05
-833|-883.19
812|721.83
-224|345.6
-187|726.81
-783|-628.57
-277|-212.8
925|-645.87
